report_date,statement,code,sector,level,is_priority_sector_memo,parent_code,parent_statement,date,outstanding_cr
2026-02-27,Statement 1,4.3,"Advances against Fixed Deposits (Including FCNR (B), NRNR Deposits etc.)",2,False,4,Statement 1,2026-01-31,154359.968207
2026-02-27,Statement 1,4.4,"Advances to Individuals against share, bonds, etc.",2,False,4,Statement 1,2024-01-26,7340.133668
2026-02-27,Statement 1,4.4,"Advances to Individuals against share, bonds, etc.",2,False,4,Statement 1,2024-03-22,8492.355003
2026-02-27,Statement 1,4.4,"Advances to Individuals against share, bonds, etc.",2,False,4,Statement 1,2025-01-24,9765.771392
2026-02-27,Statement 1,4.4,"Advances to Individuals against share, bonds, etc.",2,False,4,Statement 1,2025-03-21,10079.513133
2026-02-27,Statement 1,4.4,"Advances to Individuals against share, bonds, etc.",2,False,4,Statement 1,2026-01-31,10263.564514
2026-02-27,Statement 1,4.5,Credit Card Outstanding,2,False,4,Statement 1,2024-01-26,258503.29871
2026-02-27,Statement 1,4.5,Credit Card Outstanding,2,False,4,Statement 1,2024-03-22,257016.060676
2026-02-27,Statement 1,4.5,Credit Card Outstanding,2,False,4,Statement 1,2025-01-24,292083.480649
2026-02-27,Statement 1,4.5,Credit Card Outstanding,2,False,4,Statement 1,2025-03-21,284366.260475
2026-02-27,Statement 1,4.5,Credit Card Outstanding,2,False,4,Statement 1,2026-01-31,296417.211618
2026-02-27,Statement 1,4.6,Education,2,False,4,Statement 1,2024-01-26,117186.010441
2026-02-27,Statement 1,4.6,Education,2,False,4,Statement 1,2024-03-22,119379.603656
2026-02-27,Statement 1,4.6,Education,2,False,4,Statement 1,2025-01-24,135864.67557
2026-02-27,Statement 1,4.6,Education,2,False,4,Statement 1,2025-03-21,137456.056824
2026-02-27,Statement 1,4.6,Education,2,False,4,Statement 1,2026-01-31,154899.320815
2026-02-27,Statement 1,4.7,Vehicle Loans,2,False,4,Statement 1,2024-01-26,560961.594102
2026-02-27,Statement 1,4.7,Vehicle Loans,2,False,4,Statement 1,2024-03-22,573390.822871
2026-02-27,Statement 1,4.7,Vehicle Loans,2,False,4,Statement 1,2025-01-24,615234.996383
2026-02-27,Statement 1,4.7,Vehicle Loans,2,False,4,Statement 1,2025-03-21,622793.449718
2026-02-27,Statement 1,4.7,Vehicle Loans,2,False,4,Statement 1,2026-01-31,720567.284783
2026-02-27,Statement 1,4.8,Loans against gold jewellery,2,False,4,Statement 1,2024-01-26,91458.092834
2026-02-27,Statement 1,4.8,Loans against gold jewellery,2,False,4,Statement 1,2024-03-22,93301.371708
2026-02-27,Statement 1,4.8,Loans against gold jewellery,2,False,4,Statement 1,2025-01-24,175086.235752
2026-02-27,Statement 1,4.8,Loans against gold jewellery,2,False,4,Statement 1,2025-03-21,206284.024542
2026-02-27,Statement 1,4.8,Loans against gold jewellery,2,False,4,Statement 1,2026-01-31,400517.195347
2026-02-27,Statement 1,4.9,Other Personal Loans,2,False,4,Statement 1,2024-01-26,1395546.15157
2026-02-27,Statement 1,4.9,Other Personal Loans,2,False,4,Statement 1,2024-03-22,1427871.531455
2026-02-27,Statement 1,4.9,Other Personal Loans,2,False,4,Statement 1,2025-01-24,1510586.244825
2026-02-27,Statement 1,4.9,Other Personal Loans,2,False,4,Statement 1,2025-03-21,1535197.477836
2026-02-27,Statement 1,4.9,Other Personal Loans,2,False,4,Statement 1,2026-01-31,1685237.632997
2026-02-27,Statement 1,I,Bank Credit (II + III),0,False,,,2024-01-26,16043591.79785
2026-02-27,Statement 1,I,Bank Credit (II + III),0,False,,,2024-03-22,16432163.926709997
2026-02-27,Statement 1,I,Bank Credit (II + III),0,False,,,2025-01-24,17868478.530021753
2026-02-27,Statement 1,I,Bank Credit (II + III),0,False,,,2025-03-21,18243972.334670212
2026-02-27,Statement 1,I,Bank Credit (II + III),0,False,,,2026-01-31,20475381.95524439
2026-02-27,Statement 1,II,Food Credit,0,False,,,2024-01-26,45618.73
2026-02-27,Statement 1,II,Food Credit,0,False,,,2024-03-22,23080.81
2026-02-27,Statement 1,II,Food Credit,0,False,,,2025-01-24,56178.86
2026-02-27,Statement 1,II,Food Credit,0,False,,,2025-03-21,36531.16
2026-02-27,Statement 1,II,Food Credit,0,False,,,2026-01-31,89295.4
